0.379,0.751,0.526,17.09,15.0,0.08,4095
0.366,0.766,0.502,21.55,16.14,-0.51,4095
0.35,0.784,0.488,19.98,15.68,-0.63,4095
0.354,0.801,0.453,18.18,12.94,2.97,4095
0.344,0.791,0.431,14.09,14.18,7.15,4095
0.341,0.803,0.416,18.12,12.75,11.47,4095
0.345,0.805,0.404,13.29,7.17,11.81,4095
0.342,0.82,0.388,15.65,6.74,7.59,4095
0.344,0.824,0.372,19.1,6.48,6.92,4095
0.351,0.824,0.405,22.42,3.14,5.28,4095
0.345,0.847,0.361,21.61,-0.65,3.9,4095
0.342,0.835,0.329,17.18,-4.39,3.42,4095
0.328,0.834,0.284,15.96,-5.39,1.0,4095
0.316,0.857,0.214,14.56,0.02,5.06,4095
0.298,0.881,0.214,9.91,0.07,10.82,4095
0.295,0.885,0.209,9.73,-0.56,9.25,4095
0.301,0.906,0.183,6.59,-1.29,10.56,4095
0.307,0.896,0.18,4.19,2.42,14.95,4095
0.309,0.922,0.17,4.5,9.47,15.71,4095
0.318,0.886,0.185,8.61,6.05,11.76,4095
0.321,0.87,0.18,19.17,6.57,2.99,4095
0.289,0.913,0.152,17.63,9.32,-1.72,4095
0.284,0.906,0.14,17.22,8.49,-0.61,4095
0.275,0.913,0.127,15.3,6.4,0.76,4095
0.269,0.917,0.109,12.84,3.7,1.17,4095
0.264,0.924,0.098,11.14,2.57,2.94,4095
0.262,0.919,0.091,8.7,4.09,3.11,4095
0.257,0.924,0.09,6.87,4.97,3.1,4095
0.256,0.926,0.088,6.62,4.44,2.79,4095
0.255,0.931,0.084,5.23,4.05,2.64,4095
0.252,0.932,0.087,4.0,3.93,2.56,4095
0.254,0.932,0.085,3.59,3.55,1.57,4095
0.251,0.934,0.086,3.09,3.39,0.6,4095
0.25,0.935,0.087,2.77,3.45,0.34,4095
0.246,0.936,0.087,2.83,2.85,-0.04,4095
0.245,0.938,0.084,2.86,2.3,-0.73,4095
0.241,0.94,0.083,2.58,1.93,-0.49,4095
0.238,0.94,0.082,2.67,1.68,-0.46,4095
0.235,0.942,0.083,2.56,1.51,-0.34,4095
0.232,0.944,0.082,2.25,1.47,-0.27,4095
0.228,0.947,0.083,2.13,1.42,-0.16,4095
0.225,0.948,0.084,1.8,1.35,-0.09,4095
0.223,0.951,0.083,1.61,1.18,-0.0,4095
0.221,0.952,0.083,1.46,1.1,0.04,4095
0.22,0.952,0.085,1.33,1.04,0.08,4095
0.221,0.954,0.082,1.17,0.85,0.2,4095
